COOKIE;Date;Time;Click_order;Webpage
00002d9d71225d9ea0f2eb073ebacb90;1999-06-24;10:06:37;0;start_session
00002d9d71225d9ea0f2eb073ebacb90;1999-06-24;10:06:37;1;home
00002d9d71225d9ea0f2eb073ebacb90;1999-06-24;10:07:17;2;program
00002d9d71225d9ea0f2eb073ebacb90;1999-06-24;10:07:20;3;product
00002d9d71225d9ea0f2eb073ebacb90;1999-06-24;10:49:16;4;home
00002d9d71225d9ea0f2eb073ebacb90;1999-06-24;10:49:42;5;program
00002d9d71225d9ea0f2eb073ebacb90;1999-06-24;10:49:44;6;product
00002d9d71225d9ea0f2eb073ebacb90;1999-06-24;10:49:52;7;home
00002d9d71225d9ea0f2eb073ebacb90;1999-06-24;10:49:52;8;end_session
00231b42183c715be0be3c8cbe044adb;1998-12-15;14:04:56;0;start_session
00231b42183c715be0be3c8cbe044adb;1998-12-15;14:04:56;1;program
00231b42183c715be0be3c8cbe044adb;1998-12-15;14:54:33;2;catalog
00231b42183c715be0be3c8cbe044adb;1998-12-15;14:55:04;3;program
00231b42183c715be0be3c8cbe044adb;1998-12-15;15:00:03;4;product
00231b42183c715be0be3c8cbe044adb;1998-12-15;15:01:27;5;program
00231b42183c715be0be3c8cbe044adb;1998-12-15;15:17:40;6;program
00231b42183c715be0be3c8cbe044adb;1998-12-15;15:17:40;7;end_session
003041262d5dcbbcc8c7f9e45a79ac53;1998-02-11;10:08:08;0;start_session
003041262d5dcbbcc8c7f9e45a79ac53;1998-02-11;10:08:08;1;program
003041262d5dcbbcc8c7f9e45a79ac53;1998-02-11;10:08:43;2;product
003041262d5dcbbcc8c7f9e45a79ac53;1998-02-11;10:09:59;3;p_info
003041262d5dcbbcc8c7f9e45a79ac53;1998-02-11;10:11:13;4;p_info
003041262d5dcbbcc8c7f9e45a79ac53;1998-02-11;10:57:53;5;register
003041262d5dcbbcc8c7f9e45a79ac53;1998-02-11;10:57:53;6;end_session
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;12:57:57;0;start_session
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;12:57:57;1;program
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;12:58:15;2;product
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;12:59:06;3;p_info
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;12:59:46;4;register
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;13:07:08;5;p_info
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;13:07:12;6;register
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;13:09:28;7;regpost
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;13:10:14;8;shelf
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;13:10:35;9;catalog
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;13:10:46;10;program
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;13:10:58;11;product
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;13:11:25;12;addcart
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;13:11:48;13;shelf
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;13:12:15;14;cart
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;13:12:36;15;freeze
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;13:13:22;16;shelf
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;13:46:26;17;pay_req
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;14:03:09;18;shelf
00624d8c1e318d44f16ab9e056925cd4;1998-09-10;14:05:11;19;shelf
