X_SMHI;Y_SMHI;Name;Year;Month;Day;Depth m;Temp_ øC;pH ;Cond_ mS/m25øC;Ca meq/l;Mg meq/l;Na meq/l;K meq/l;Alk_/Acid meq/l;SO4_IC meq/l;Cl meq/l;NO2+NO3-N ug/l;Tot-N_ps ug/l;Tot-P ug/l;Abs__F 420nm/5cm;TOC mg/l;Si mg/l
653600;162119;FJÄTTERSJÖN;2005;11;22;1;4.4;7.15;7.49;0.262;0.201;0.231;0.031;0.344;0.132;0.193;105;591;22;0.042;7.8;1.09
654145;161816;VÄSTRA STYRAN;2005;11;22;1;3.8;7.49;10.6;0.477;0.275;0.243;0.049;0.478;0.276;0.241;70;321;29;0.045;7.1;1.17
654353;162104;MUSKAN;2005;11;22;1;5.4;7.46;13.5;0.742;0.278;0.322;0.051;0.698;0.251;0.334;209;569;42;0.154;11;3.54
654646;164746;LÅNGTRÄSK;2005;11;22;1;5.5;7.52;15.4;0.872;0.24;0.44;0.04;0.961;0.165;0.415;31;678;37;0.037;10.3;0.96
654804;159298;LÅNGSJÖN;2005;11;22;1;3.8;7.6;13.7;0.72;0.41;0.259;0.045;0.868;0.261;0.242;34;648;24;0.054;8.3;1.37
654847;158874;SKILLÖTSJÖN;2005;11;22;1;4;7.67;16.2;0.733;0.512;0.392;0.058;1.058;0.197;0.398;88;653;34;0.027;8.1;1.19
654893;159467;RÖSJÖN;2005;11;22;1;2.7;6.77;16.7;0.379;0.224;0.923;0.024;0.273;0.125;1.109;79;511;29;0.209;13.6;3.42
655284;161919;GRINDSJÖN;2005;11;22;1;5.8;7.32;9.18;0.471;0.173;0.216;0.027;0.383;0.246;0.213;39;350;23;0.025;5.4;1.42
655587;158869;STORA ENVÄTTERN;2005;11;29;1;2.9;6.59;3.64;0.161;0.066;0.095;0.007;0.064;0.108;0.071;7;288;8;0.07;8;0.19
655795;159898;FLATEN;2005;11;22;1;1.8;7.29;17.9;0.714;0.323;0.666;0.051;0.696;0.217;0.808;16;654;24;0.116;10.9;1.7
655930;162013;STORA SKOGSSJÖN;2005;11;22;1;3;7.31;8.1;0.466;0.151;0.14;0.019;0.361;0.277;0.099;20;574;20;0.029;6.4;1.96
656016;162798;SVARTSJÖN;2005;11;22;1;3.8;5.49;2.18;0.09;0.036;0.067;0.006;0;0.056;0.061;40;386;14;0.263;12.3;2.23
656092;160258;MÅSNAREN;2005;11;22;1;2.3;7.66;27.7;1.164;0.409;1.066;0.063;1.087;0.377;1.312;45;734;30;0.042;9.6;2.65
656093;162737;TREHÖRNINGEN;2005;11;22;1;2.9;7.35;7.65;0.666;0.094;0.08;0.008;0.519;0.083;0.067;60;561;10;0.368;18.1;2.6
656206;159170;YNGERN;2005;11;29;1;3.6;7.31;7;0.338;0.153;0.161;0.024;0.259;0.202;0.129;1;339;13;0.027;4.8;0.36
656211;162071;BOCKSJÖN;2005;11;22;1;3.8;7;13.6;0.854;0.242;0.283;0.042;0.651;0.335;0.275;208;929;54;0.333;15.9;4.27
656525;162507;KVARNSJÖN;2005;11;22;1;4.3;7.19;10.7;0.491;0.157;0.363;0.031;0.331;0.204;0.419;74;647;25;0.118;10.8;1.51
